index,county1,county2,higher_gamma_mean_county,approx_diff_prob,delta,reduction_factor,RDET_percent
849,29123,29157,29123,0.9941,0.05,0.855,14.500000000000002
855,29169,29215,29169,0.938,0.05,0.96,4.0000000000000036
986,35045,35031,35045,0.902,0.05,0.995,0.5000000000000004
1050,37087,47029,47029,0.9162,0.05,0.975,2.500000000000002
1142,39115,39121,39115,0.9817,0.05,0.8400000000000001,15.999999999999993
1145,39115,39009,39009,0.9009,0.05,0.985,1.5000000000000013
1148,40043,40153,40043,0.9192,0.05,0.98,2.0000000000000018
1150,40043,40093,40043,0.9695,0.05,0.89,10.999999999999998
1210,41045,32013,32013,0.9227,0.05,0.96,4.0000000000000036
1297,45031,45069,45069,0.9695,0.05,0.93,6.999999999999995
1343,47021,47187,47021,0.9385,0.05,0.955,4.5000000000000036
1348,47031,47127,47031,0.9796,0.05,0.86,14.000000000000002
1355,47035,47141,47141,0.9036,0.05,0.995,0.5000000000000004
1357,47035,47129,47129,0.9278,0.05,0.975,2.500000000000002
1358,47035,47049,47049,0.9983,0.05,0.8200000000000001,17.999999999999993
1392,47151,47001,47151,0.986,0.05,0.9,9.999999999999998
1393,47151,47129,47151,0.9685,0.05,0.935,6.499999999999995
1395,47151,47137,47151,0.9849,0.05,0.895,10.499999999999998
1397,48001,48073,48001,0.9901,0.05,0.88,12.0
1398,48001,48225,48001,0.9868,0.05,0.89,10.999999999999998
1399,48001,48161,48001,0.9576,0.05,0.9400000000000001,5.999999999999995
1412,48025,48409,48409,0.9412,0.05,0.9450000000000001,5.499999999999994
1413,48025,48391,48391,0.9504,0.05,0.925,7.499999999999996
1430,48083,48095,48083,0.9149,0.05,0.985,1.5000000000000013
1437,48111,35059,48111,0.9526,0.05,0.925,7.499999999999996
1522,48409,48297,48409,0.9641,0.05,0.925,7.499999999999996
1618,51041,51670,51670,0.9224,0.05,0.985,1.5000000000000013
1636,51069,54031,51069,0.9998,0.05,0.5449999999999999,45.50000000000001
1639,51069,54027,51069,0.9672,0.05,0.875,12.5
1700,51171,54031,51171,0.9863,0.05,0.8250000000000001,17.499999999999993
1758,54033,54001,54033,0.9124,0.05,0.975,2.500000000000002
1842,1073,1127,1127,0.9663,0.05,0.925,7.499999999999996
1858,1113,1011,1113,0.9194,0.05,0.975,2.500000000000002
1867,4001,4009,4009,0.9109,0.05,0.98,2.0000000000000018
1871,4001,4011,4011,0.9721,0.05,0.81,18.999999999999993
1881,4015,4005,4015,0.931,0.05,0.96,4.0000000000000036
1896,5025,5079,5025,0.902,0.05,0.99,1.0000000000000009
1898,5041,5107,5107,0.9378,0.05,0.96,4.0000000000000036
1942,5095,5077,5095,0.9233,0.05,0.975,2.500000000000002
1943,5095,5123,5095,0.9408,0.05,0.965,3.500000000000003
1980,6091,6115,6115,0.9099,0.05,0.985,1.5000000000000013
2013,18071,18143,18143,0.9548,0.05,0.955,4.5000000000000036
2030,18175,18143,18143,0.9676,0.05,0.95,5.000000000000004
2061,21025,21119,21025,0.9694,0.05,0.9450000000000001,5.499999999999994
2062,21025,21153,21025,0.9758,0.05,0.935,6.499999999999995
2066,21029,21093,21093,0.9638,0.05,0.905,9.499999999999996
